id;comment;star;is_flagged;degerlendirme;kategori;llm_uygunsuz;llm_sebep
1;ferry test ;4.0;False;notr;spam;True;Yorumu tam olarak anlamadım ve belirli bir sebebi belirtmiyorum
11;İğrenç ötesi bir yolculuktu ne sosyal mesafe ne başka birşey aşırı kalabalıktı insanlar koridorlarda felan oturuyordu yerde hepsinin resmi ve videosu mevcut en kısa zamanda sosyal medyaya atacağım 14.00 da gelmesi gereken gemi 15.30 da limandan kalka bildi ne klima vardı ne başka birşey eşyaları almak vermek zaten başlı başına bir işkence adamlar tüm düzeni gelen yolcu mecbur parasını alalım ama mecburlar hizmet vermezsekte olur mantığı ile kurmuşlar aklı olan biraz daha fazla verip her türlü uçağı kullansın ;1.0;False;negatif;personel;True;Personel hataları ve zararlı davranışlar
1114;Saat 9 biltimiz vardı 10:10 da hareket etti. Oturmaya yer yok. Sıkış tepiş valizleri koymaya yer yok. Kötü yolculuk;1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
1128;Berbattı,45 dk diye belirtilen yolculuk süresi eski bir tekne ile yapılması nedeni ile 2.5 saat sürdü,herkes sefil oldu,kimseye herhangi bir bilgilendirilme yapılmadığı için insanlar transferlerini,uçaklarını kaçırdı,mülteci teknesi gibi sıkış tepiş gelindi,gördüğüm en berbat deniz taşımacılığı;1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
1129;Berbattı,45 dk diye belirtilen yolculuk süresi eski bir tekne ile yapılması nedeni ile 2.5 saat sürdü,herkes sefil oldu,kimseye herhangi bir bilgilendirilme yapılmadığı için insanlar transferlerini,uçaklarını kaçırdı,mülteci teknesi gibi sıkış tepiş gelindi,gördüğüm en berbat deniz taşımacılığı;1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
1130;Berbattı,45 dk diye belirtilen yolculuk süresi eski bir tekne ile yapılması nedeni ile 2.5 saat sürdü,herkes sefil oldu,kimseye herhangi bir bilgilendirilme yapılmadığı için insanlar transferlerini,uçaklarını kaçırdı,mülteci teknesi gibi sıkış tepiş gelindi,gördüğüm en berbat deniz taşımacılığı;1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
1131;Berbattı,45 dk diye belirtilen yolculuk süresi eski bir tekne ile yapılması nedeni ile 2.5 saat sürdü,herkes sefil oldu,kimseye herhangi bir bilgilendirilme yapılmadığı için insanlar transferlerini,uçaklarını kaçırdı,mülteci teknesi gibi sıkış tepiş gelindi;1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
1132;Berbattı,45 dk diye belirtilen yolculuk süresi eski bir tekne ile yapılması nedeni ile 2.5 saat sürdü,herkes sefil oldu,kimseye herhangi bir bilgilendirilme yapılmadığı için insanlar transferlerini,uçaklarını kaçırdı,mülteci teknesi gibi sıkış tepiş gelindi;2.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
12;Maalesef gidemedim. Sürekli değişiklik yaptılar ve doğru bilgi vermediler. Kesinlikle güvenilmez. İptal ettim ve uçakla gitmek zorunda kaldım.;1.0;False;negatif;personel;False;Uygunsuzluk veya şikayet nedeni (Türkçe): 'Maalesef gidemedim. Sürekli değişiklik yaptılar ve doğru bilgi vermediler. Kesinlikle güvenilmez. İptal ettim ve uçakla gitmek zorunda kaldım.'
126;"Kötüydü malesef. ÖNCELIKLE MUTLAKA AKGUNLER FORMA ODISINDEN NORMAL BASILI BILETINIZI ALUN LIMANA GELMEDEN ELEKTRONIK BILET BASTIRIP LIMANA GELMEYİN. bir-kac yolcuyu bu yüzden bekledik ve 1 saat geç kalktık. 14.00 de kalkacak feribota 13.10 da bindik. 14.50 de kalktı. Pervaneye çorap sikismis(kötü şans-firmaya ilgili degil) geri limana döndük tekrar hareket ettik yolculuk 3 saat sürüyor, o kısım 2 saat diye yanlış bilgi tamamen. Ama 2 kişi gidiş dönüş feribot bileti 1900 tl, uçakla 15.000 tl. Yani ""mecbuuur gidecez"".";1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
13;Lavabolar berbat hijyen sıfır corona tedbirleri sıfır...;1.0;False;negatif;personel;True;Personel hatalı veya belirsiz bir yorum
14;Cok memnun kaldik elamanları da cok iyi niyetli ;5.0;False;pozitif;personel;False;
15;Feribotunuz berbat bidaha ölsemde binmem;1.0;False;negatif;personel;False;Uygunsuzluk veya şikayet nedeni (Türkçe): 'Feribotunuz berbat bidaha ölsemde binmem'
1560;8:45te kalkacak 20 dakikada express gidecek 9:05'te orda olacak diye satılan bilet, geç kalan yolcu olmamasına rağmen 9buçukta kalktı, yolculuk 30 dakika sürdü. Hiçbir yolcu geç kalmamıştı öyle boş boş beklettiler. Dönüş için saat 5te gelin dediler 6da kalkacak dediler. Gittik 6 yı çeyrek geçe daha bot yeni teşrif etti. 1 saat ayakta ve güneşte sıkış sıkış botun gelmesini bekledik. Dentur da bu Fahri Kaptan gibi rezildi ama biraz daha hızlıydı. Bir daha sadece Yeşil Marmarisle gideceğim.;1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
16;İyi bir yolculuktu,çalışanlara teşekkür ediyorum;5.0;False;pozitif;personel;False;
17;Gemi biletimizi 23.30 olarak aldık ve 19 saatlik bir yolculuktan sonra tam saatinde Taşucu limanına vardık. Sonrasında 4 saatlik bir rötar yaptı. Gemi hijyenik değildi tuvaletler leş gibiydi. 5 yıl kıbrısta okudum hiçbir zaman gemiyi tercih etmemiştim ilk deneyimimde ve bu şekilde oldu. Umarım yorumumun faydası olur sadece araç değil insan da taşıyorsunuz bize saygınız yoksa işinize olsun. ;4.0;False;pozitif;servis;False;null
1785;test;3.0;True;negatif;spam;True;Statik kural motoru tarafından engellendi.
1797;"I can say that this is a shipping company that is not worth commenting on.  When purchasing a ferry ticket, they text people hours later, saying the departure time was 3:00 PM, and they changed it from 3:00 PM to 12:00 PM. People who come from far away and have already scheduled their arrival times for the ferry end up with their entire travel plans messed up. On top of that, they sell tickets online. You arrive at the port gate with your online ticket and PNR number. The police or security at the gate don't recognize the online ticket sold to you with the PNR number. They turn you away at the gate, saying you're going to the fleet company's online ticket in that heat. Imagine, you're looking for a taxi, and when you arrive at the office, a smug office manager named Selcuk threatens you by saying you can't yell at us and that you'll have to wait for the ferry ticket process. Then, he says, ""We sent you a message."" The message says, ""Come and pick up the ticket from the office.""  There's no such thing. If a ticket sold online has a PNR number and QR code, people won't have to come to your office and hear your threats, and I won't think you're some kind of rare Indian fabric. Also, when the ship arrived in Kyrenia, they set up a platform for the passengers to disembark. It was a real treat for the housemates. What can I say? It was a total cowboy thing. No one can object.";1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
1798;"I can say that this is a shipping company that is not worth commenting on.  When purchasing a ferry ticket, they text people hours later, saying the departure time was 3:00 PM, and they changed it from 3:00 PM to 12:00 PM. People who come from far away and have already scheduled their arrival times for the ferry end up with their entire travel plans messed up. On top of that, they sell tickets online. You arrive at the port gate with your online ticket and PNR number. The police or security at the gate don't recognize the online ticket sold to you with the PNR number. They turn you away at the gate, saying you're going to the fleet company's online ticket in that heat. Imagine, you're looking for a taxi, and when you arrive at the office, a smug office manager named Selcuk threatens you by saying you can't yell at us and that you'll have to wait for the ferry ticket process. Then, he says, ""We sent you a message."" The message says, ""Come and pick up the ticket from the office.""  There's no such thing. If a ticket sold online has a PNR number and QR code, people won't have to come to your office and hear your threats, and I won't think you're some kind of rare Indian fabric. Also, when the ship arrived in Kyrenia, they set up a platform for the passengers to disembark. It was a real treat for the housemates. What can I say? It was a total cowboy thing. No one can object.";1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
18;Tuvaletler çok pis ne tv calisiyor ne wi-fi  birde habersiz saati değişiyor feribotu şu saate kadar mersinde izmir otobüsü bekliyorum birde memnun musun diye yazabiliyorsunuz şaşırtıcı ;1.0;False;negatif;temizlik;False;Uygunsuzluk veya şikayet nedeni
1866;Kantinde duran bıyıklı düşük iqlu eleman herkesin ne istediğini çok iyi hatırladığını iddia edip yolculara aklınca laf sokuyor. Ama gerçekte çok basit bir siparişi (su ve kola) vermek için aynı siparişi üstüste 5 kere tekrar etmeniz gerekiyor. Elemanın iddiası ise insanların gerizekalı olduğu ve o müthiş aklıyla siparişleri zaten aklında tutabildiği. Seyahatin en sevimsiz yanı bu az kilolu düşük vitaminli arkadaştı. Kendisine buradan selam ediyorum, son yıllarda gördüğüm en gereksiz tiplerde ilk 3'e girer. Sırf şu hadsizle karşılaşmamak için bile bir daha asla Akgünler denizcilikle seyahat etmem. ;1.0;True;negatif;insult;True;Statik kural motoru tarafından engellendi.
195;Gidişte kapasite fazlası yolcu alarak ve zamanında kalkmayıp 1 saat geç hareket ettiler. Esas önemlisi dönüşte tam bir rezalet yaşandı. Esas feribot gelmedi ve başka limana küçük bir otobüsle transfer yaparak ve cok daha küçük bir tekne ile 1,5 saat gecikmeli olarak ve bunlara dair hiçbir muhattap yetkili olmaksızın 2 saat süreli sıkışık ve üst üste bir halde dalgalarla boguşarak kusadasina zar zor yanaşıp güçlükle uygun olmayan bir iskeleden tahliye olduk. Asla bu firma ile birdaha seyahat etmeyiz ve edecek olana da önermeyiz. ;1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
2;ferry test;4.0;False;notr;spam;True;Yorumu tam olarak anlayamam
2003;Mafya tik kılıklı insanlar yolculara zorla içki sigara vermeye çalışıyor gümrükten geçsin diye,çok rahatsız edici, küfürler havada uçuşuyor,bir personel dahi müdahale etmedi,son yolculuğum filo ile;1.0;True;negatif;other;True;Statik kural motoru tarafından engellendi.
3;Güzel;4.0;False;pozitif;spam;True;Uygunsuzluk veya şikayet nedeni (Türkçe)
