id;comment;star;degerlendirme;kategori
12;Maalesef gidemedim. Sürekli değişiklik yaptılar ve doğru bilgi vermediler. Kesinlikle güvenilmez. İptal ettim ve uçakla gitmek zorunda kaldım.;1.0;negatif;personel
14;Cok memnun kaldik elamanları da cok iyi niyetli ;5.0;pozitif;personel
15;Feribotunuz berbat bidaha ölsemde binmem;1.0;negatif;personel
16;İyi bir yolculuktu,çalışanlara teşekkür ediyorum;5.0;pozitif;personel
17;Gemi biletimizi 23.30 olarak aldık ve 19 saatlik bir yolculuktan sonra tam saatinde Taşucu limanına vardık. Sonrasında 4 saatlik bir rötar yaptı. Gemi hijyenik değildi tuvaletler leş gibiydi. 5 yıl kıbrısta okudum hiçbir zaman gemiyi tercih etmemiştim ilk deneyimimde ve bu şekilde oldu. Umarım yorumumun faydası olur sadece araç değil insan da taşıyorsunuz bize saygınız yoksa işinize olsun. ;4.0;pozitif;servis
18;Tuvaletler çok pis ne tv calisiyor ne wi-fi  birde habersiz saati değişiyor feribotu şu saate kadar mersinde izmir otobüsü bekliyorum birde memnun musun diye yazabiliyorsunuz şaşırtıcı ;1.0;negatif;temizlik
4;Keyifli;5.0;pozitif;personel
5;teşekkürler filo;5.0;pozitif;personel
8;İğrenç bir yolculuktu.Insanlari 4 saat öncesinde limana dikip bekletmeniz rezillik gölge düzgün bekleyecek bir yer yok;1.0;negatif;personel
9;Siparişimi iptal etmesi için biriyle iletişime geçmeye çalıştım. İki saatlik telefon numaralarını aradıktan ve aradıktan sonra bile bu mümkün değildi. Çok kafa karıştırıcı iptal emri;2.0;negatif;personel
